"Edit","Paste","Shift+Insert","In Dialogs and Windows"
"Source","Format","Shift+Ctrl+F","Editing Java Source"
"Window","Previous Editor","Shift+Ctrl+F6","In Windows"
"Edit","Find and Replace","Ctrl+F","In Windows"
"Source","Correct Indentation","Ctrl+I","Editing Java Source"
"Run/Debug","Close Rendering","Ctrl+W","In Memory View"
"Text Editing","Duplicate Lines","Ctrl+Alt+Up","Editing Text"
"Views","Show View (Javadoc)","Shift+Alt+Q J","In Windows"
"Edit","Word Completion","Alt+/","Editing Text"
"Edit","Quick Diff Toggle","Shift+Ctrl+Q","Editing Text"
"Reverse Debugging Commands","Uncall","Shift+F7","Debugging C/C++"
"C/C++ Source","References","Shift+Ctrl+G","In C/C++ Views"
"Text Editing","Delete Previous Word","Ctrl+Backspace","Editing Text"
"Views","Show View (Synchronize)","Shift+Alt+Q Y","In Windows"
"Navigate","Open Declaration","F3","In Windows"
"Run/Debug","Step Over","Alt+6","Debugging"
"Text Editing","Expand","Ctrl+Numpad_Add","Editing Text"
"Views","Show View","Shift+Alt+Q Q","In Windows"
"Window","Previous Perspective","Shift+Ctrl+F8","In Windows"
"Navigate","Backward History","Alt+Left","In Windows"
"Run/Debug","Go to Program Counter","Home","In Disassembly"
"Navigate","Next Page","Alt+F7","In Windows"
"Source","Add Javadoc Comment","Shift+Alt+J","In Windows"
"Navigate","Open Type Hierarchy","F4","C/C++ Editor"
"Git","Paste Repository Path or URI","Ctrl+V","In Git Repositories View"
"C/C++ Source","Declaration","Ctrl+G","In C/C++ Views"
"Window","Activate Editor","F12","In Windows"
"Refactor - Java","Change Method Signature","Shift+Alt+C","In Windows"
"Text Editing","Copy Lines","Ctrl+Alt+Down","Editing Text"
"Text Editing","Line End","End","Editing Text"
"Run/Debug","Terminate","Ctrl+F2","Debugging"
"Text Editing","Delete Next Word","Ctrl+Delete","Editing Text"
"Text Editing","Move Lines Up","Alt+Up","Editing Text"
"Run/Debug","Display","Shift+Ctrl+D","In Dialogs and Windows"
"Run/Debug","Run","Ctrl+F11","In Windows"
"File","New menu","Shift+Alt+N","In Windows"
"C/C++ Source","Go to Matching Bracket","Shift+Ctrl+P","C/C++ Editor"
"Source","Add Block Comment","Shift+Ctrl+/","Editing Java Source"
"Run/Debug","Debug JUnit Test","Shift+Alt+D T","In Windows"
"Search","Open Search Dialog","Ctrl+H","In Windows"
"Project","Make Target Build","Shift+F9","In Windows"
"Reverse Debugging Commands","Reverse Resume","Shift+F8","Debugging C/C++"
"Run/Debug","Run OSGi Framework","Shift+Alt+X O","In Windows"
"Source","Toggle Mark Occurrences","Shift+Alt+O","Editing Java Source"
"Reverse Debugging Commands","Reverse Step Into","Shift+F5","Debugging C/C++"
"Edit","Context Information","Shift+Ctrl+Space","In Dialogs and Windows"
"Uncategorized","Copy","Ctrl+C","In Git Reflog View"
"Views","Show View (Outline)","Shift+Alt+Q O","In Windows"
"C/C++ Source","Add Block Comment","Shift+Ctrl+/","C/C++ Editor"
"Edit","Incremental Find","Ctrl+J","Editing Text"
"C/C++ Source","Surround With Quick Menu","Shift+Alt+Z","C/C++ Editor"
"Run/Debug","Next Page of Memory","Shift+Ctrl+.","In Table Memory Rendering"
"C/C++ Source","Organize Includes","Shift+Ctrl+O","C/C++ Editor"
"C/C++ Source","Explore Macro Expansion","Ctrl+#","C/C++ Editor"
"Refactor - Java","Extract Method","Shift+Alt+M","In Windows"
"Edit","Restore Last Selection","Shift+Alt+Down","Editing Java Source"
"Navigate","Open Include Browser","Ctrl+Alt+I","In C/C++ Views"
"Refactor - Java","Move - Refactoring ","Shift+Alt+V","In Windows"
"Source","Quick Assist - Assign to local variable","Ctrl+2 L","Editing Java Source"
"Window","Next Perspective","Ctrl+F8","In Windows"
"Source","Show Source Quick Menu","Shift+Alt+S","In Windows"
"Run/Debug","Run JUnit Test","Shift+Alt+X T","In Windows"
"Navigate","Open Type in Hierarchy","Shift+Ctrl+H","In Windows"
"C/C++ Source","Show Source Quick Menu","Shift+Alt+S","C/C++ Editor"
"C/C++ Source","Declaration","Ctrl+G","C/C++ Editor"
"C/C++ Source","Open Element","Shift+Ctrl+T","In C/C++ Views"
"Text Editing","Select Line Start","Shift+Home","Editing Text"
"Edit","Undo","Ctrl+Z","In Dialogs and Windows"
"C/C++ Source","Show outline","Ctrl+O","C/C++ Editor"
"Source","Toggle Comment","Ctrl+/","Editing Properties Files"
"Source","Toggle Ant Mark Occurrences","Shift+Alt+O","Editing Ant Buildfiles"
"Run/Debug","Toggle Memory Monitors Pane","Ctrl+T","In Memory View"
"C/C++ Source","Toggle Mark Occurrences","Shift+Alt+O","C/C++ Editor"
"Navigate","Forward History","Alt+Right","In Windows"
"C/C++ Source","Forward","Alt+Right","In Macro Expansion Hover"
"Window","Next Editor","Ctrl+F6","In Windows"
"Navigate","Go to Previous Member","Shift+Ctrl+Up","Editing Java Source"
"Edit","Shift Left","Shift+Tab","C/C++ Editor"
"Refactor - Java","Rename - Refactoring ","Shift+Alt+R","In Windows"
"Edit","Delete","Delete","In Windows"
"Run/Debug","Toggle Breakpoint","Shift+Ctrl+B","In Windows"
"Views","Show View (Package Explorer)","Shift+Alt+Q P","In Windows"
"Run/Debug","Execute","F7","In Windows"
"Search","Declaration in Workspace","Ctrl+G","In Windows"
"Run/Debug","Run JUnit Plug-in Test","Shift+Alt+X P","In Windows"
"Source","Open External Documentation","Shift+F2","Editing Ant Buildfiles"
"Views","Show View (Declaration)","Shift+Alt+Q D","In Windows"
"Edit","Redo","Shift+Ctrl+Z","In Dialogs and Windows"
"Views","Show View (Search)","Shift+Alt+Q S","In Windows"
"Text Editing","Show Tooltip Description","F2","Editing Text"
"Navigate","Open Include Browser","Ctrl+Alt+I","C/C++ Editor"
"Source","Quick Assist - Assign to field","Ctrl+2 F","Editing Java Source"
"Makefile Source","Open declaration","F3","Makefile Editor"
"Run/Debug","Debug Eclipse Application","Shift+Alt+D E","In Windows"
"Edit","Select Next C/C++ Element","Shift+Alt+Right","C/C++ Editor"
"Window","Maximize Active View or Editor","Ctrl+M","In Windows"
"Source","Toggle Comment","Ctrl+7","Editing Java Source"
"Edit","Find Next","Ctrl+K","Editing Text"
"C/C++ Source","References","Shift+Ctrl+G","C/C++ Editor"
"Views","Show View (History)","Shift+Alt+Q Z","In Windows"
"Views","Show View (Cheat Sheets)","Shift+Alt+Q H","In Windows"
"Run/Debug","Step Into Selection","Ctrl+F5","Debugging C/C++"
"Run/Debug","All Instances","Shift+Ctrl+N","In Windows"
"Source","Organize Imports","Shift+Ctrl+O","In Windows"
"Navigate","Quick Outline","Ctrl+O","PDE editor"
"Spy","Plug-in Selection Spy","Shift+Alt+F1","In Dialogs and Windows"
"Run/Debug","Step Into Selection","Ctrl+F5","Debugging"
"File","Properties","Alt+Enter","In Windows"
"C/C++ Source","Indent Line","Ctrl+I","C/C++ Editor"
"File","Close All","Shift+Ctrl+W","In Windows"
"Run/Debug","Run Java Application","Shift+Alt+X J","In Windows"
"C/C++ Source","Remove Block Comment","Shift+Ctrl+\","C/C++ Editor"
"Navigate","Open Resource","Shift+Ctrl+R","In Windows"
"Search","Show Occurrences in File Quick Menu","Shift+Ctrl+U","In Windows"
"Source","Toggle Comment","Ctrl+7","Editing Properties Files"
"Text Editing","Delete Line","Ctrl+D","Editing Text"
"Run/Debug","Force Return","Shift+Alt+F","In Windows"
"Run/Debug","Go to Address","Ctrl+G","In Table Memory Rendering"
"Edit","Incremental Find Reverse","Shift+Ctrl+J","Editing Text"
"Run/Debug","Go to Address...","Ctrl+G","In Disassembly"
"Text Editing","Collapse All","Shift+Ctrl+Numpad_Divide","Editing Text"
"Navigate","Show In Breadcrumb","Shift+Alt+B","Editing Java Source"
"Window","Switch to Editor","Shift+Ctrl+E","In Windows"
"Edit","Select Previous C/C++ Element","Shift+Alt+Left","C/C++ Editor"
"Source","Open Declaration","F3","Editing Ant Buildfiles"
"File","Print","Ctrl+P","In Windows"
"C/C++ Source","Back","Alt+Left","In Macro Expansion Hover"
"Navigate","Open Type","Shift+Ctrl+T","In Windows"
"C/C++ Source","Go to Next Member","Shift+Ctrl+Down","C/C++ Editor"
"Edit","Select Enclosing C/C++ Element","Shift+Alt+Up","C/C++ Editor"
"Text Editing","Insert Line Above Current Line","Shift+Ctrl+Enter","Editing Text"
"Navigate","Go to Matching Bracket","Shift+Ctrl+P","Editing Java Source"
"Navigate","Open Call Hierarchy","Ctrl+Alt+H","In C/C++ Views"
"Refactor - C++","Extract Local Variable - Refactoring ","Shift+Alt+L","C/C++ Editor"
"Navigate","Last Edit Location","Ctrl+Q","In Windows"
"Refactor - C++","Rename - Refactoring ","Shift+Alt+R","In C/C++ Views"
"Run/Debug","Debug Ant Build","Shift+Alt+D Q","In Windows"
"Navigate","Go to Next Member","Shift+Ctrl+Down","Editing Java Source"
"Run/Debug","Debug Java Applet","Shift+Alt+D A","In Windows"
"Window","Show View Menu","Ctrl+F10","In Dialogs and Windows"
"Text Editing","To Lower Case","Shift+Ctrl+Y","Editing Text"
"Run/Debug","Debug JUnit Plug-in Test","Shift+Alt+D P","In Windows"
"Window","Quick Access","Ctrl+3","In Windows"
"Navigate","Open Type Hierarchy","F4","In C/C++ Views"
"Run/Debug","Step Return","Alt+7","Debugging"
"Run/Debug","Run Ant Build","Shift+Alt+X Q","In Windows"
"Views","Show View (Problems)","Shift+Alt+Q X","In Windows"
"Text Editing","Select Line End","Shift+End","Editing Text"
"Text Editing","Select Next Word","Shift+Ctrl+Right","Editing Text"
"Source","Rename In File","Shift+Alt+R","Editing Ant Buildfiles"
"Text Editing","Delete to End of Line","Shift+Ctrl+Delete","Editing Text"
"Window","Show Contributing Plug-in","Shift+Alt+F3","In Dialogs and Windows"
"Refactor - Java","Show Refactor Quick Menu","Shift+Alt+T","In Windows"
"Text Editing","Line Start","Home","Editing Text"
"Run/Debug","Next Memory Monitor","Ctrl+Alt+N","In Memory View"
"Text Editing","Toggle Folding","Ctrl+Numpad_Divide","Editing Text"
"Source","Toggle Comment","Shift+Ctrl+C","Editing Java Source"
"Navigate","Open Type Hierarchy","F4","In Windows"
"Window","Show Key Assist","Shift+Ctrl+L","In Dialogs and Windows"
"Source","Toggle Comment","Ctrl+/","Editing Java Source"
"Text Editing","Scroll Line Down","Ctrl+Down","Editing Text"
"Views","Show View (Variables)","Shift+Alt+Q V","In Windows"
"Edit","Cut","Shift+Delete","In Dialogs and Windows"
"Navigate","Open Type in Hierarchy","Shift+Ctrl+H","C/C++ Editor"
"Source","Toggle Comment","Shift+Ctrl+C","Editing Properties Files"
"Edit","Toggle Block Selection","Shift+Alt+A","Editing Text"
"Run/Debug","Debug","F11","In Windows"
"File","Rename","F2","In Windows"
"Run/Debug","EOF","Ctrl+D","In I/O Console"
"Refactor - C++","Extract Function - Refactoring ","Shift+Alt+M","C/C++ Editor"
"Edit","Select Next Element","Shift+Alt+Right","Editing Java Source"
"Edit","Quick Fix","Ctrl+1","In Dialogs and Windows"
"Text Editing","Select Previous Word","Shift+Ctrl+Left","Editing Text"
"File","Save","Ctrl+S","In Windows"
"Refactor - C++","Extract Constant - Refactoring ","Alt+C","C/C++ Editor"
"Git","Commit...","Ctrl+#","In Windows"
"Edit","Select All","Ctrl+A","In Dialogs and Windows"
"Text Editing","Move Lines Down","Alt+Down","Editing Text"
"C/C++ Source","Open Element","Shift+Ctrl+T","C/C++ Editor"
"Window","Show System Menu","Alt+-","In Windows"
"File","Refresh","F5","In Windows"
"Navigate","Open Call Hierarchy","Ctrl+Alt+H","In Windows"
"Edit","Copy","Ctrl+Insert","In Dialogs and Windows"
"Run/Debug","Run Eclipse Application","Shift+Alt+X E","In Windows"
"Navigate","Collapse All","Shift+Ctrl+Numpad_Divide","In Windows"
"Run/Debug","Add Memory Block","Ctrl+Alt+M","In Memory View"
"Edit","Select Previous Element","Shift+Alt+Left","Editing Java Source"
"Text Editing","Expand All","Ctrl+Numpad_Multiply","Editing Text"
"Run/Debug","Previous Page of Memory","Shift+Ctrl+,","In Table Memory Rendering"
"File","Close All","Shift+Ctrl+F4","In Windows"
"File","Close","Ctrl+F4","In Windows"
"Run/Debug","Step Into","Alt+5","Debugging"
"Window","Show Ruler Context Menu","Ctrl+F10","Editing Text"
"Source","Format","Shift+Ctrl+F","Editing Ant Buildfiles"
"Uncategorized","Add Artifact to Target Platform","Shift+Ctrl+Alt+A","In Windows"
"C/C++ Source","Open Declaration","F3","In C/C++ Views"
"Run/Debug","Java Breakpoint Properties","Alt+Enter","In Breakpoints View"
"Search","Find Text in Workspace","Ctrl+Alt+G","In Windows"
"Run/Debug","Run to Line","Alt+R","In Macro Expansion Hover"
"Source","Remove Occurrence Annotations","Shift+Alt+U","Editing Java Source"
"Run/Debug","Debug Java Application","Shift+Alt+D J","In Windows"
"C/C++ Source","Add Include","Shift+Ctrl+N","C/C++ Editor"
"Views","Show View (Breakpoints)","Shift+Alt+Q B","In Windows"
"Navigate","Previous Sub-Tab","Alt+PageUp","In Dialogs and Windows"
"Refactor - Java","Extract Local Variable","Shift+Alt+L","In Windows"
"Run/Debug","Resume","F8","Debugging"
"Navigate","Next","Ctrl+.","In Windows"
"Spy","Plug-in Menu Spy","Shift+Alt+F2","In Dialogs and Windows"
"Project","Rebuild Last Target","F9","In Windows"
"Text Editing","Toggle Overwrite","Insert","Editing Text"
"Navigate","Next Sub-Tab","Alt+PageDown","In Dialogs and Windows"
"C/C++ Source","Sort Lines","Ctrl+Alt+S","C/C++ Editor"
"Text Editing","Next Word","Ctrl+Right","Editing Text"
"Navigate","Previous","Ctrl+,","In Windows"
"Navigate","Open Manifest","Shift+Ctrl+Alt+M","In Windows"
"Text Editing","To Upper Case","Shift+Ctrl+X","Editing Text"
"Makefile Source","Uncomment","Ctrl+\","Makefile Editor"
"Edit","Content Assist","Ctrl+Space","In Dialogs and Windows"
"Navigate","Expand All","Shift+Ctrl+Numpad_Multiply","In Windows"
"Text Editing","Text End","Ctrl+End","Editing Text"
"Navigate","Quick Outline","Ctrl+O","Editing Java Source"
"C/C++ Source","Open Declaration","F3","C/C++ Editor"
"Navigate","Open Structure","Ctrl+F3","Editing Java Source"
"Navigate","Show In...","Shift+Alt+W","In Windows"
"Window","Previous View","Shift+Ctrl+F7","In Windows"
"Source","Surround With Quick Menu","Shift+Alt+Z","In Windows"
"Manifest Editor Source","Format Source","Shift+Ctrl+F","PDE editor"
"Navigate","Open Plug-in Artifact","Shift+Ctrl+A","In Windows"
"Navigate","Quick Hierarchy","Ctrl+T","Editing Java Source"
"Run/Debug","Use Step Filters","Shift+F5","In Windows"
"Source","Add Import","Shift+Ctrl+M","Editing Java Source"
"Source","Remove Block Comment","Shift+Ctrl+\","Editing Java Source"
"Run/Debug","Inspect","Shift+Ctrl+I","In Dialogs and Windows"
"Views","Show View (Error Log)","Shift+Alt+Q L","In Windows"
"C/C++ Source","Explore Macro Expansion","Ctrl+=","C/C++ Editor"
"C/C++ Source","Open Declaration","F3","In Macro Expansion Hover"
"Navigate","Open Type in Hierarchy","Shift+Ctrl+H","In C/C++ Views"
"Text Editing","Reset Structure","Shift+Ctrl+Numpad_Multiply","Editing Text"
"Text Editing","Scroll Line Up","Ctrl+Up","Editing Text"
"Run/Debug","Display","Shift+Ctrl+V","In Dialogs and Windows"
"Navigate","Open Call Hierarchy","Ctrl+Alt+H","C/C++ Editor"
"Edit","Restore Last C/C++ Selection","Shift+Alt+Down","C/C++ Editor"
"Window","Next View","Ctrl+F7","In Windows"
"Edit","Select Enclosing Element","Shift+Alt+Up","Editing Java Source"
"Source","Quick Assist - Rename in file","Ctrl+2 R","Editing Java Source"
"Refactor - C++","Toggle Function - Refactoring ","Shift+Alt+T","C/C++ Editor"
"Navigate","Previous Page","Shift+Alt+F7","In Windows"
"Git","Copy Path to Clipboard","Ctrl+C","In Git Repositories View"
"Navigate","Show In Breadcrumb","Shift+Alt+B","Editor Breadcrumb Navigation"
"C/C++ Source","Quick Type Hierarchy","Ctrl+T","C/C++ Editor"
"Reverse Debugging Commands","Reverse Step Over","Shift+F6","Debugging C/C++"
"C/C++ Source","Format","Shift+Ctrl+F","C/C++ Editor"
"Edit","Find Previous","Shift+Ctrl+K","Editing Text"
"Run/Debug","New Rendering","Ctrl+N","In Memory View"
"C/C++ Source","Go to Previous Member","Shift+Ctrl+Up","C/C++ Editor"
"Makefile Source","Comment","Ctrl+/","Makefile Editor"
"Views","Show View (Console)","Shift+Alt+Q C","In Windows"
"Navigate","Open Attached Javadoc","Shift+F2","In Windows"
"Refactor - C++","Rename - Refactoring ","Shift+Alt+R","C/C++ Editor"
"Text Editing","Previous Word","Ctrl+Left","Editing Text"
"C/C++ Source","Toggle Source/Header","Ctrl+Tab","C/C++ Editor"
"Text Editing","Join Lines","Ctrl+Alt+J","Editing Text"
"Run/Debug","Run Java Applet","Shift+Alt+X A","In Windows"
"Views","Show View (Type Hierarchy)","Shift+Alt+Q T","In Windows"
"Edit","Toggle Insert Mode","Shift+Ctrl+Insert","Editing Text"
"Edit","Copy","Ctrl+C","In Dialogs and Windows"
"Search","References in Workspace","Shift+Ctrl+G","In Windows"
"Navigate","Go to Line","Ctrl+L","Editing Text"
"Run/Debug","Debug OSGi Framework","Shift+Alt+D O","In Windows"
"Text Editing","Collapse","Ctrl+Numpad_Subtract","Editing Text"
"Refactor - Java","Inline","Shift+Alt+I","In Windows"
"File","Save All","Shift+Ctrl+S","In Windows"
"C/C++ Source","Comment/Uncomment","Ctrl+/","C/C++ Editor"
"Text Editing","Insert Line Below Current Line","Shift+Enter","Editing Text"
"Text Editing","Text Start","Ctrl+Home","Editing Text"
